1_Name of initiative,hq_co,Profile,bureau,region,rollup_ou,question_name,initiative,Column,Project Objective,2_Brief description,3_Relevant outcome,Thematic focus,4_Countries that engaged in the SSC/TC,iso3,Partners involved,method of SSC,5_1,5_2,5_3,5_4,5_5,5_6,UNDP role and achievements,Evidence,Channel,Supporting information,Comments,combined_links
Projet Appui à la réhabilitation des rizières et le traitement des produits agricoles et animaux,CO,"SIDS, LDC, FS",RBA,africa,GNB,BB1_0011,1,,Le projet vise à contribuer à  la qualité de vie des communautés en réduisant la pauvreté et la faim.,"Le projet vise le renforcement de la sécurité alimentaire à travers la relance de la production agricole, notamment rizicole et maraîchère, à travers la réhabilitation des aménagements hydroagricoles et des infrastructures rurales, le renforcement des capacités des organisations paysannes et des structures d’encadrement",GNB_OUTCOME35,Sustainable Development Pathways,"Brazil, Guinea-Bissau, India, South Africa","BRA, GNB, IND, ZAF",government,global ,0,0,0,0,0,1,"Le PNUD a soutenu la réhabilitation de leurs champs de riz afin d’augmenter la productivité, la conservation des sols, l’eau et éviter la déforestation de nouvelles zones; variétés de semences de légumes ont été distribués à contribuer au régime alimentaire; nouvelles technologies ont été introduites pour réduire le travail manuel (éplucheurs, meuleuses); de nouvelles techniques de transformation de la viande et du poisson.",0,"KS, CB",0,AB,https://erc.undp.org/evaluation/documents/download/9335
Projet d’électrification rurale en utilisant des systèmes d’énergie solaire,CO,"SIDS, LDC, FS",RBA,africa,GNB,BB1_0011,2,,Le projet vise à contribuer à  la qualité de vie des communautés en réduisant la pauvreté; et possibilités l’access a l’énergie solaire durable,"Pour fournir de l’électricité bon marché aux villages reculés, le PNUD a lancé un projet d’électrification rurale en partenariat avec le gouvernement. Le projet est financé par le Fonds pour l’environnement mondial.Dans trois zones pilotes (Thaba-Tseka, Mokhotlong et Qacha’s Nek), le projet a permis de subventionner plusieurs activités génératrices de revenus et un petit centre des affaires, afin de montrer comment utiliser l’énergie solaire de façon productive. ",GNB_OUTCOME35,Sustainable Development Pathways,"Brazil, Guinea-Bissau, India, South Africa","BRA, GNB, IND, ZAF",government,global ,0,0,0,0,0,1,"Le PNUD a soutenu les 24 communautés partenaires projet IBSA, qui ont bénéficié de l’accès à l’énergie solaire durable dans les principales vois d’accès aux locaux des initiatives (centre de jeunes, éclairage public) offrant une plus grande sécurité aux communautés, a l’eau par pompage  et  a l’alphabétisation fonctionnelle.",1,CB,0,AB,"http://www.undp.org/content/undp/fr/home/ourwork/ourstories/solar-panels-light-rural-districts-of-lesotho.html"
Experience sharing field mission to Peru for the Aden Dismissals Commission,CO,"LDC, FS",RBAS,arab_states,YEM,BB1_0011,2,,"Experience sharing missions, to increase the technical knowledge of the members of the Commissionsorganized.","UNDP Yemen Transitional Justice Project organized experience sharing field visit to Peru. The purpose of the mission was to enable representatives of the Commission to get more information on issues which are of critical importance for the Commission’s work: screening; treating urgent claims; Grouping cases; innovative remedies that do not involve only monetary compensations; categorizing claims, so as to be able to make group decisions; Database; Evidences; sensitive cases; Public relations",YEM_OUTCOME27,Inclusive and Effective Democratic Governance,Peru,PER,government,country-country,1,1,1,0,0,0,"Until June 2014 the commission finalized only 3000 cases. During the mission in Peru the Commission had the opportunity to concretely observe how reparation was functioning in Peru and was confronted to specific cases and how cases were solved. By providing range of technical information and solutions relevant to the Commission’s work, the Commission managed to define appropriate resolutions. Following the mission in Peru, the Dismissals Commission solved 15000 of individual and mass claims",1,KS,,,http://mptf.undp.org/document/download/13567
Roma project,CO,MIC,RBEC,europe_cis,HRV,,1,Croatia,,"The regional component of the Roma project has facilitated exchange of experience between the countries participating in the project, and has helped familiarize countries with the EU agenda on Roma inclusion, and promoted understanding of the potential policy implications of this agenda.",,Inclusive and Effective Democratic Governance,7 countries of the Western Balkan sub-region,,government,regional,1,,,,,,facilitated exchange of experience between the countries ,0,KS,,,http://www.hr.undp.org/content/croatia/en/home/presscenter/articles/2015/04/30/a-new-project-for-the-brighter-future-of-roma-in-croatia.html
Customs Union,CO,MIC,RBEC,europe_cis,BLR,,1,Belarus,,roper border controls are maintained for Ozone Depleting Substances,,Inclusive and Effective Democratic Governance,7 countries of the Western Balkan sub-region,,government,regional,1,,,,,,"UNDP also facilitated the cooperation between countries participating in the Customs Union, to make sure that proper border controls are maintained for Ozone Depleting Substances after the entry into force of the Customs Union, in compliance with the Montreal Protocol (4 participating countries and their neighbours in the region)",0,KS,,,http://www.by.undp.org/content/belarus/en/home/presscenter/pressreleases/2014/03/19/minsk-hosts-discussion-on-ozone-depleting-substances-tracking-in-the-customs-union.html
HuRiLab - Human Rights Laboratory is a platform,CO,MIC,RBEC,europe_cis,ARM,,1,,,"HuRiLab - Human Rights Laboratory is a platform to promote innovative concepts into the Rule of Law, Human Rights, and Justice programming. We seek to facilitate collaboration with institutions and youth/ civil society organizations in order to develop more responsive and effective projects that can address persistent challenges posed by vulnerability, marginalization, and exclusion.",,Inclusive and Effective Democratic Governance,Europe and the Commonwealth of Independent States,,cso,regional,1,,,,,,"South-South Cooperation (SSC) is integrated into many components of the governance agenda in the region, including through innovation for the HuRiLab platform ",1,KS,,,https://hurilab.wordpress.com/author/hurilab/
Czech-UNDP Trust Fund,CO,MIC,RBEC,europe_cis,Czk,,1,,,"South-South/East-East initiative involving Kazakhstan, Kyrgyzstan and Armenia on sharing Czech experience in implementing the EU Energy Performance in Buildings Directive).",,Inclusive and Effective Democratic Governance,"Albania, Azerbaijan, Armenia, Belarus, Bosnia a Herzegovina, Montenegro, Georgia, Kazakhstan, Kosovo, Kyrgyzstan, Macedonia, Moldova, Serbia, Tajikistan, Turkmenistan, Ukraine, Uzbekistan",,government,global ,,,,,,, Initiative consolidated 3 separate proposals into one as part of the Czech-UNDP Trust Fund.,0,PF,,,http://www.eurasia.undp.org/content/rbec/en/home/about_us/partners/czech-undp-trust-fund.html
Regional Hub of Civil Service,CO,MIC,RBEC,europe_cis,KGZ,,1,,,"Employ knowledge management and South-South and triangular partnership approaches that are customized to contribute to the establishment of modern, effective and fiscally sustainable civil service systems in the region towards meeting society’s expectations for the responsive and transparent delivery of public goods and services",,Inclusive and Effective Democratic Governance,"Afghanistan, Azerbaijan, Kyrgyzstan, Georgia, Tajikistan, and Turkey",,government,regional,1,,,,,,"In Kazakhstan, RBEC supported the formulation of a US$14M project to establish the Regional Hub of Civil Service",0,KS,,,http://www.undp.org/content/undp/en/home/presscenter/pressreleases/2015/06/19/kazakhstan-undp-regional-hub-civil-service-astana-host-conference-civil-service-excellence.html
Workshop on parliamentary oversight on state budget,CO,MIC,RBEC,europe_cis,MDA,BB1_0011,12,,,The parliamentary oversight over national budget was addressed by improving staffers’ knowledge in budgetary techniques and the international best practices. The Programme organized a workshop for all committee staff on how to increase the effectiveness of the parliamentary oversight function over state budget and on how to make the Government more accountable when implementing national programs,MDA_OUTCOME22,Inclusive and Effective Democratic Governance,Latvia,LVA,government,country-country,1,0,0,0,0,0,"UNDP supported capacity building of parliamentary staff to support the MPs in the oversight of state budget increased (workshop evaluation forms). Two committee senior advisers and one former MP from Baltic States Parliaments –Estonia, Latvia and Lithuania - made presentations, sharing their experience and best practices. In the result, 23 staffers learned about different models of parliamentary control over Government’s spending. Further capacity development in this area was also achieved through the participation of three advisers from the Committee on Economy, Finance and Budget in an intensive training course in UK on Scrutiny of public accounts by Parliament and relations between Parliament and National Audit Institution. All three advisors received certificates of successful completion of the training. However, further follow up in 2015 for strengthening the capacities of both MPs and staff in this area is needed. ",0,KS,,,https://info.undp.org/docs/pdc/Documents/MDA/DP_%20Progress%20Report(Engl).pdf.
Bolivia: Towards Inclusive and Sustainable New Communities,,MIC,RBLAC,lac,BOL,,,,The objective of the project will be to focus on local level implementation with linkages to national policies and programmes,"UNDP, together with ROK and in collaboration with other development partners, will identify the scalable elements and solutions of the SU and formulate them into an updated, integrated local development model known as the ISNCs approach for application and scaling up to current country contexts. In so doing, the project will also facilitate triangular knowledge exchange and cooperation on proven solutions for local development by drawing on the experiences of ROK and country-level implementation of the approach, and ensure that the lessons learned of the SU and the updated approach influences global and regional development discourses. The three phases of the project are as follows:1. Formulation of the inclusive and sustainable new communities (or inclusive and sustainable saemaul) approach based on the experiences of the saemaul undong2. Achievement of policy impact at local and national levels through application of the inclusive and sustainable new communities approach3. Scaling up or spreading out through triangular knowledge exchange and cooperation as well as global advocacy for regional and global impact",,Sustainable Development Pathways,"Uganda, Lao People's Democratic Republic, Viet Nam, Rwanda, Myanmar, Boliva","UGA, LAO, VNM, RWA, MMR",government,global ,,,,,,,UNDP supported this initiative in 6 countries. There are no results at this stage as the project is in implementation stage.,,"KS, CB, PF",,,http://www.undp.org/content/undp/en/home/ourwork/development-impact/south-south-cooperation/saemaul-initiative-towards-inclusive-and-sustainable-new-communi.html
