#### Partner
Short | Full 
---|---
`academia` | Academia
`cso` | CSO
`international_cooperation_development_agencies` | International cooperation / development agencies
`national_governments` | National governments
`private_sector` | Private sector
`regional_inter_governmental_organizations` | Regional / Inter-governmental organizations
`sub_national_governments` | Sub-national governments

#### Region
Short | Full 
---|---
`africa` | Africa
`arab_states` | Arab States
`asia_pacific` | Asia & Pacific
`europe_cis` | Europe & CIS
`lac` | Latin America & Caribbean

#### Thematic focus
Short | Full 
---|---
`inclusive_and_effective_democratic_governance` | Inclusive and effective democratic governance
`resilience_building` | Resilience building
`sustainable_development_pathways` | Sustainable development pathways

#### UNDP Role
Short | Full 
---|---
`builder_of_capacities` | Builder of capacities
`facilitator_of_partnerships` | Facilitator of partnerships
`knowledge_broker` | Knowledge broker

#### Territorial focus
Short | Full 
---|---
`fragile_states` | Fragile States
`hic` | High Income Countries
`ldc` | Least Developed Countries
`mic` | Middle Income Countries
`sids` | Small Island Developing States

#### Scale
Short | Full 
---|---
`global` | Global
`national` | National
`regional` | Regional

