project_id,open_project_id,project_title,project_objective,scale,country,region,undp_role_type,thematic_focus,ssc_description,territorial_focus,partner_type,project_link,edit_link
"00013579",00013579,"The Mesoamerica Project (formerly Plan Puebla Panama)","The initiative includes  eight projects with high social and economic impact (among which are health issues, environment, natural disasters, housing, telecommunications, transport and energy) which have significant progress in strengthening policies for social development in the Mesoamerican region and have efficient mechanisms of coordination to achieve the MDGs.","country-country","MEX","lac","","sustainable_development_pathways","UNDP provides technical assistance. ","mic","national_governments","http://open.undp.org/#project/00013579","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00013579.txt"
"00014955",00014955,"Enhancing the Democratic Rule of Law through Strengthening the Justice System in Timor-Leste (Revised Justice System Programme)","To consolidate the Democratic Rule of Law and Peace through a strong Justice System in Timor-Leste (Revised Justice System Programme)","country-country","TLS","asia_pacific","knowledge_broker","inclusive_and_effective_democratic_governance","Brazil had entered into an agreement with the Government of Timor-Leste since 2002 to support the justice sector, and currently channels technical expertise through a Memorandum of Understanding with the UNDP Justice System Programme which enables the secondment of Brazilian judges, prosecutors, public defenders and administrative staff to the judiciary in Timor-Leste.","fragile_states","national_governments","http://open.undp.org/#project/00014955","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00014955.txt"
"00014960",00014960,"Strengthening institutional capacity of the national parliament in Timor-Leste","To strengthen parliamentary democracy and institutional capacity of the National Parliament in Timor Leste.","country-country","TLS","asia_pacific","knowledge_broker|facilitator_of_partnerships","inclusive_and_effective_democratic_governance","UNDP will assist in strengthening inter-parliamentary relations with Portugese speaking countries and Pacific region countries, so as to exchange best practices and learns lessons in the areas of gender mainstreaming, legislative processes and mechanisms, and oversight systems and procedures. ","fragile_states","regional_inter_governmental_organizations","http://open.undp.org/#project/00014960","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00014960.txt"
"00036350",00036350,"Renewable Energy-based Rural Electrification Programme for Botswana","To reduce Botswana's energy-related CO2 emissions by promoting renewable and low GHG technologies as a substitute for fossil fuel (fuel wood, paraffin and coal) utilized in rural areas. The activities proposed in the project are designed to remove barriers to the wide-scale utilization of renewable energy and low GHG technologies to meet the basic electricity needs of individual households in terms of lighting, power for radio cassette/ TV and income-generating activities. In turn, this project will help with the initiation of the intended renewable energy programme of the Government of Botswana and to encourage the development of the private sector industry in the provision of renewable energy in the country.","country-country","BWA","africa","knowledge_broker","sustainable_development_pathways","UNDP supported knowledge exchange through dissemination / replication of project's experiences in at least 3 countries of South African Development Community (SADC) region. At the same time, the experiences of at least three countries outside Botswana will be studied and used to steer the Botswana project implementation and design its future action.  At least three trips were organized for a combined group of government and donor representatives (both from  Botswana and outside) to the project area to observe PV systems, with an aim to learn its experience. It is planned that the results of the project will be shared through regional and international seminars and workshops.","mic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00036350.txt"
"00037004",00037004,"Implementation of Programmes and Projects of CTPD","The project aims to design and implement Brazilian South-South cooperation programmes and projects, which shall contribute to strengthen the relations with other developing countries. Applying Brazilian best practices and experiences, programmes and projects shall support the reconstruction of countries, social and economic recovery and the institutional strengthening of Governments.","country-country","BRA","lac","builder_of_capacities","inclusive_and_effective_democratic_governance","","mic","national_governments","http://open.undp.org/#project/00037004","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00037004.txt"
"00037179",00037179,"Implementation of South-South cooperation projects and activities in Latin America, Africa and CPLP","This project aims to identify, plan and implement South-South cooperation projects and activities in Latin America, Africa and CPLP (Community of Portuguese Speaking Countries). Projects and activities shall apply Brazilian experiences and best practices, spreading and using technical knowledge as a way to support the development of human resources capacities in partner countries, to strengthen local institutions and to foster social and economic development.","country-country","BRA","lac","builder_of_capacities","sustainable_development_pathways","UNDP manages the budget provided by Brazilian government according to its procedures and rules. Together with Community of Portuguese Speaking Countries and Brazil Cooperation Agency, UNDP develops the work plan and manages the project. In addition, UNDP organizes capacity building initiatives. ","mic","national_governments","http://open.undp.org/#project/00037179","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00037179.txt"
"00038436",00038436,"Conservation of Iranian Wetlands Project - Phase II (Scale-up)","To enhance the effectiveness and sustainability of Iran's system of wetland protected areas as a tool for conserving globally significant biodiversity","country-country","IRN","asia_pacific","knowledge_broker","resilience_building","UNDP will facilitate sharing of knowledge and lessons learnt among neighbouring countries.","mic","national_governments","http://open.undp.org/#project/00038436","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00038436.txt"
"00039746",00039746,"Programme Development of the European Centre for Cross-Sector Partnership (IMPACT)","To further develop the capacities of the IMPACT Centre to become a civil society organizations' knowledge centre.","country-country","HRV","europe_cis","knowledge_broker","inclusive_and_effective_democratic_governance","Through the Centre for Cross-Sector Partnership, UNDP facilitates knowledge exchange and regional cooperation on empowering grass-root organizations, local governments, and businesses from South East European countries to create enabling legal and institutional framework for partnerships based on international best practices.","hic","cso|academia|private_sector","http://open.undp.org/#project/00039746","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00039746.txt"
"00039860",00039860,"Support to Social Protection System Development","To strengthen the capacity of the Government to ensure the long-term sustainability of social security reform. The concrete project tasks will involve technical support in (i) strengthening the capacity in management and investment of pension funds; (ii) enhancing the capacity in social protection policy formulation, analysis and design; (iii) improving the quality of social service delivery to elderly and disabled; and (iv) education and communication campaigns to increase public awareness.","country-country","TKM","europe_cis","knowledge_broker","sustainable_development_pathways","UNDP facilitates study tours and training seminars with other countries emerging from the former USSR with social protection programmes and exchange information on how the different national models operate in practice. ","mic","national_governments","http://open.undp.org/#project/00039860","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00039860.txt"
"00040060",00040060,"Building local capacity to achieve MDG 5 through South / South cooperation (Renforcement des capacités locales pour la réalisation de l'OMD5 à travers la coopération Sud/Sud)","To support Niger in achieving MDG 5 UNDP Niger since 2006 has supported the recruitment and placement of UNV surgeons and midwives in nine health districts of the forty - two in the country to strengthen the capacity of maternal health services and reproductive locally.","country-country","NER","africa","knowledge_broker","sustainable_development_pathways","UNDP supports South-South cooperation component allowing the transfer of competencies to national health professionals to make sustainable the mechanism of quality and proximity care service at a decent cost for Niger; promoting the transfer of skills to Nigerian managers of district hospitals; development of partnerships and synergies with other Technical and Financial Partners. This pilot initiative has strengthened the management of national staff and increase the supply of essential care in areas that were not covered in HD and Central Maternity Niamey (such as maternal health, surgical / obstetric interventions gynecology, cardiology and transfer national competences of health professionals across the South / South).","ldc","national_governments","http://open.undp.org/#project/00040060","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00040060.txt"
